,face_id,frame_id,domain_emotion,angry,disgust,scared,happy,sad,surprised,neutral
88,1,88,sad,0.133440300822258,0.07762309163808823,0.11747246980667114,0.1039707362651825,0.40505945682525635,0.003117462620139122,0.15931648015975952
90,1,90,sad,0.1956418752670288,0.08532892167568207,0.0695827305316925,0.19313310086727142,0.273914635181427,0.002611364470794797,0.17978738248348236
92,1,92,sad,0.1907155066728592,0.044926926493644714,0.08251580595970154,0.10574059188365936,0.3580191135406494,0.0022632963955402374,0.21581873297691345
94,1,94,neutral,0.14613161981105804,0.0013880409533157945,0.09357546269893646,0.17908141016960144,0.20528265833854675,0.0008540201233699918,0.37368687987327576
96,1,96,sad,0.08725432306528091,0.01601576805114746,0.0501430369913578,0.16633589565753937,0.5022801756858826,0.001944712596014142,0.17602607607841492
98,1,98,happy,0.025676611810922623,4.001070192316547e-05,0.015890324488282204,0.5637896060943604,0.06920347362756729,0.002241239184513688,0.3231586813926697
100,1,100,sad,0.07223864644765854,0.03086053766310215,0.08887982368469238,0.2906295955181122,0.29578787088394165,0.009628538973629475,0.21197493374347687
102,1,102,sad,0.07726462930440903,0.004487344063818455,0.035434190183877945,0.38127759099006653,0.39135897159576416,0.002778806257992983,0.10739850997924805
104,1,104,neutral,0.047444332391023636,9.797004895517603e-05,0.0187047328799963,0.2666337788105011,0.1317957490682602,0.0008120744023472071,0.5345113277435303
106,1,106,happy,0.11592265963554382,0.07022348791360855,0.04191816970705986,0.4121403396129608,0.15262696146965027,0.0024577982258051634,0.20471057295799255
108,1,108,happy,0.09842782467603683,0.03272981941699982,0.05080859363079071,0.5256485342979431,0.17064432799816132,0.002784943673759699,0.11895603686571121
110,1,110,happy,0.10868516564369202,0.0008116662502288818,0.053979020565748215,0.5050089955329895,0.0745946541428566,0.002672659233212471,0.25424784421920776
112,1,112,happy,0.1405314803123474,0.0009329453459940851,0.05545720085501671,0.4542602002620697,0.11209875345230103,0.005265496671199799,0.23145389556884766
114,1,114,neutral,0.08784221857786179,0.0003360341943334788,0.035059165209531784,0.38038432598114014,0.08265067636966705,0.0050398982129991055,0.4086877107620239
116,1,116,happy,0.1698417216539383,0.029626037925481796,0.14838750660419464,0.22516566514968872,0.22444666922092438,0.010458085685968399,0.19207429885864258
118,1,118,neutral,0.1565956175327301,0.0035925579722970724,0.08604481816291809,0.22833409905433655,0.2198696881532669,0.00968166533857584,0.2958815097808838
