,face_id,frame_id,domain_emotion,angry,disgust,scared,happy,sad,surprised,neutral
4,1,4,surprised,0.1431882381439209,0.04517953842878342,0.10975183546543121,0.16291862726211548,0.11965981870889664,0.3076648712158203,0.11163701117038727
7,1,7,happy,0.14345033466815948,0.14366872608661652,0.09063476324081421,0.21670623123645782,0.11142189055681229,0.20964007079601288,0.08447800576686859
10,1,10,disgust,0.1501702219247818,0.3517492115497589,0.060733478516340256,0.17967374622821808,0.10712854564189911,0.05863561853766441,0.09190923720598221
13,1,13,disgust,0.15338778495788574,0.4630078673362732,0.05160100385546684,0.17063038051128387,0.07843023538589478,0.021998340263962746,0.06094434857368469
14,1,14,disgust,0.2780497670173645,0.41086938977241516,0.06370294094085693,0.08098136633634567,0.060807209461927414,0.05214015021920204,0.053449153900146484
18,1,18,disgust,0.07219436019659042,0.7454935908317566,0.014603831805288792,0.022733494639396667,0.01932305097579956,0.019687891006469727,0.1059638112783432
19,1,19,disgust,0.20598788559436798,0.49383777379989624,0.019284233450889587,0.02071663923561573,0.11271506547927856,0.01126706600189209,0.13619133830070496
20,1,20,disgust,0.2171318084001541,0.34431877732276917,0.03158015385270119,0.10973203927278519,0.08911284059286118,0.02062901295721531,0.1874953955411911
21,1,21,disgust,0.10778531432151794,0.3402997553348541,0.031656414270401,0.2158070206642151,0.05834411457180977,0.00872682686895132,0.2373804897069931
22,1,22,neutral,0.12418071180582047,0.06333615630865097,0.08240076899528503,0.0706055611371994,0.2280963957309723,0.012007365003228188,0.41937312483787537
23,1,23,angry,0.3183352053165436,0.29113131761550903,0.05318564921617508,0.022771760821342468,0.16811732947826385,0.008661210536956787,0.13779745995998383
24,1,24,disgust,0.1914888322353363,0.5520280003547668,0.03072056919336319,0.024811910465359688,0.17351818084716797,0.0032079541124403477,0.024224460124969482
25,1,25,disgust,0.2513141930103302,0.3509618043899536,0.0372183658182621,0.13878077268600464,0.166129931807518,0.003213656833395362,0.052381325513124466
26,1,26,disgust,0.32329240441322327,0.4326104521751404,0.03054898977279663,0.036535948514938354,0.13579487800598145,0.0015352297341451049,0.03968207910656929
27,1,27,angry,0.6953324675559998,0.04595284163951874,0.04182804003357887,0.011641494929790497,0.10905047506093979,0.00785835087299347,0.08833632618188858
28,1,28,angry,0.6160389184951782,0.13884995877742767,0.027012566104531288,0.0060320706106722355,0.1713087111711502,0.005230094771832228,0.035527706146240234
29,1,29,angry,0.8168939352035522,0.04653547331690788,0.02750742807984352,0.0009261207887902856,0.08615197241306305,0.0022524306550621986,0.01973271556198597
30,1,30,angry,0.6385172009468079,0.046006832271814346,0.032863203436136246,0.038676533848047256,0.19100242853164673,0.003984660841524601,0.048949144780635834
31,1,31,disgust,0.29746678471565247,0.34610357880592346,0.073277048766613,0.10129670798778534,0.11210591346025467,0.003705002600327134,0.06604503095149994
32,1,32,disgust,0.2061341106891632,0.49318015575408936,0.08657455444335938,0.14092455804347992,0.03649834543466568,0.018753768876194954,0.017934488132596016
33,1,33,happy,0.058502912521362305,0.03239928558468819,0.07086221873760223,0.6258991360664368,0.17851687967777252,0.006345822010189295,0.027473822236061096
34,1,34,angry,0.4269373118877411,0.09724172204732895,0.13970057666301727,0.17935054004192352,0.09262111037969589,0.043099503964185715,0.021049179136753082
35,1,35,happy,0.15264537930488586,0.10352786630392075,0.07963398844003677,0.6052902936935425,0.03845704346895218,0.008187835104763508,0.012257558293640614
36,1,36,happy,0.03594411537051201,0.09389226883649826,0.06589364260435104,0.7020284533500671,0.06077208369970322,0.00608772924169898,0.03538171947002411
37,1,37,happy,0.0282847061753273,0.02012728340923786,0.042735904455184937,0.8487364649772644,0.03962842747569084,0.007502733264118433,0.012984520755708218
38,1,38,happy,0.06416262686252594,0.00770595483481884,0.08005695790052414,0.7811780571937561,0.03383222222328186,0.015108898282051086,0.01795530878007412
39,1,39,happy,0.025569021701812744,0.010704250074923038,0.040511008352041245,0.8814116716384888,0.02083662524819374,0.009177939966320992,0.011789591051638126
40,1,40,happy,0.041799936443567276,0.009218323975801468,0.031537603586912155,0.895818293094635,0.01211903803050518,0.004690722096711397,0.004816142376512289
41,1,41,happy,0.01667049340903759,0.004174067173153162,0.012667689472436905,0.9549143314361572,0.008103610947728157,0.0013469865079969168,0.0021228897385299206
42,1,42,happy,0.07037143409252167,0.004464114084839821,0.055967461317777634,0.7857609391212463,0.06267832964658737,0.002534211380407214,0.018223440274596214
43,1,43,happy,0.03531865403056145,0.0021600963082164526,0.08904963731765747,0.7866433262825012,0.0741029605269432,0.001750662922859192,0.010974603705108166
